time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,-0.0845898907898,0.0863858955086,11.7725759968,0.000839246852038,6.28064844875,0.0,-0.16029626021,0.174430970349,2.74941062942,-0.0960264870384,-0.0398871301088,0.0,474.18743506585923,476.97037913108596,475.68338727766104,476.2158331523576
1.3800000000000008,-0.0941395759276,0.0968451760178,11.9431141073,6.27794683841,6.2782334362,0.0,-0.15775280257,0.17353566484,2.93473837613,-0.114741356375,-0.040986242261,0.0,469.65160643495227,469.5656112746219,471.4036395086143,469.946806479287
1.4400000000000008,-0.103486397884,0.107112362178,12.1236667386,6.27154834901,6.27534497941,0.0,-0.153525611769,0.167984108088,3.08329184515,-0.0940288053247,-0.06896909784,0.0,460.9468184612186,458.72854283854366,459.47069363365057,461.1000569909485
1.5000000000000009,-0.112471928591,0.116855001932,12.3174679526,6.2664442002,6.27151613995,0.0,-0.145482062036,0.156084803493,3.37592423331,-0.0714196887985,-0.0551089945452,0.0,501.53845112615795,502.5415746845129,502.35547211856033,503.98698155925103
1.560000000000001,-0.120947010886,0.125853654801,12.5231816773,6.26254158002,6.26860596119,0.0,-0.136708004819,0.143457431786,3.4808786898,-0.0546427059595,-0.0377934982148,0.0,448.1879378946677,449.5916006145227,448.9129434064404,450.2691145486783
1.620000000000001,-0.12889375007,0.134094739623,12.7315319118,6.25943880125,6.26661074428,0.0,-0.128002839283,0.130974586135,3.46417326454,-0.0464191393961,-0.025446082579,0.0,410.188918939709,411.28346139464537,409.7503541049079,410.4788302199629
1.680000000000001,-0.136196894185,0.141406905684,12.9441616337,6.25664502371,6.26503993064,0.0,-0.115271806856,0.112467889317,3.62298624852,-0.0468520680536,-0.0276902820443,0.0,465.67292876271785,465.49723423458113,466.9337838020738,466.89883431257863
1.740000000000001,-0.142748494338,0.14761693455,13.1637050155,6.2540707965,6.2632534676,0.0,-0.102950421813,0.0942774176881,3.69488759992,-0.0359921577996,-0.0343066199685,0.0,440.5702680640916,440.02256051420375,440.2893889592546,441.1859387396486
1.8000000000000012,-0.148456182739,0.152587944234,13.3909060316,6.25170689772,6.26140665948,0.0,-0.0870955286767,0.0711843785018,3.87786646029,-0.0472682896784,-0.0245255749167,0.0,473.6619088692577,474.4132801797708,476.2402977780628,475.3762897406261
1.8600000000000012,-0.153250635089,0.15622994654,13.6255248761,6.24895041962,6.25946910688,0.0,-0.0725670612894,0.0499530715271,3.94252864524,-0.0434120615233,-0.0561627781816,0.0,440.9786289816236,438.35665635806345,440.2631829040989,440.5808847537034
1.9200000000000013,-0.157220126248,0.158675514262,13.8602622998,6.24637524121,6.25645939037,0.0,-0.0594959109318,0.0313568748393,3.88224520346,-0.0419528300285,-0.0402692028789,0.0,397.8562184517091,399.3068964012381,399.1915544546088,399.32345829676484
1.9800000000000013,-0.160114501127,0.159628782673,14.1004074394,6.24420463205,6.25395308132,0.0,-0.0367038570183,0.00016605245475,4.12174203219,-0.0265931328513,-0.0449595209602,0.0,492.6762109098,492.3285324888571,492.0896217629744,493.2248632611024
2.0400000000000014,-0.161730155866,0.158862039169,14.3497928995,6.24256063231,6.2511327407,0.0,-0.0168898814447,-0.0258705932502,4.19083906807,-0.0290643638683,-0.0514473409594,0.0,443.8929939034571,443.35888547114814,443.2043984646768,443.00103996082686
